id,ulx,uly,lrx,lry,uri,alt,file
a,275,90,455,130,https://sites.google.com/view/coastal-climate-science/explainers/increasing-co2,Increasing CO2 in the atmosphere,1CO2.png
b,385,195,530,225,https://sites.google.com/view/coastal-climate-science/explainers/warmer-air,Warmer air and the greenhouse effect,2warm-air.png
c,120,255,220,305,https://sites.google.com/view/coastal-climate-science/explainers/ocean-acidification,Ocean acidification,3acidification.png
d,245,280,365,320,https://sites.google.com/view/coastal-climate-science/explainers/warmer-ocean,Warmer ocean water,4warmer-water.png
e,440,275,535,335,https://sites.google.com/view/coastal-climate-science/explainers/more-water-vapor,More water vapor in the air,5water-vapor.png
f,555,280,675,320,https://sites.google.com/view/coastal-climate-science/explainers/melting-glaciers,Melting glaciers and ice sheets,6glaciers.png
g,585,375,705,415,https://sites.google.com/view/coastal-climate-science/explainers/water-salinity,Regional changes in water salinity,7salinity.png
h,460,435,540,490,https://sites.google.com/view/coastal-climate-science/explainers/More-clouds,More clouds and turbulence,8clouds.png
i,375,475,450,515,https://sites.google.com/view/coastal-climate-science/explainers/sea-level,Rising sea level,9rising-sea.png
j,550,470,650,520,https://sites.google.com/view/coastal-climate-science/explainers/water-density,Changes in water density,10density.png
k,200,545,265,615,https://sites.google.com/view/coastal-climate-science/explainers/less-dissolved-oxygen,Less dissolved oxygen in water,11oxygen.png
l,285,560,370,610,https://sites.google.com/view/coastal-climate-science/explainers/algal-blooms,Harmful algal blooms (HABs),12algal-bloom.png
m,450,540,575,600,https://sites.google.com/view/coastal-climate-science/explainers/extreme-weather,Extreme and changing weather,13weather.png
n,560,615,660,675,https://sites.google.com/view/coastal-climate-science/explainers/ocean-circulation,Changes to Atlantic Ocean circulation,14atlantic.png
o,280,755,380,810,https://sites.google.com/view/coastal-climate-science/explainers/harm-to-marine,Harm to marine life,15marine-life.png
p,460,785,600,835,https://sites.google.com/view/coastal-climate-science/explainers/harm-to-human,Harm to human and terrestrial life,16human-life.png